,Mean_G,RMS_G,Median_G,Variance_G,Std_G,Skewness_G,Kurtosis_G,Contrast_G,Entropy_G,Energy_G,Homogeneity_G,Correlation_G,IDM_G,Smoothness_G
0,0.4872301887063418,0.5126856632901552,0.4941176470588236,0.02545333255644886,0.1595410058776391,-0.4382639617819483,0.110940748810151,7.275191922647461,956.2337316176473,0.01150423822147389,0.07112833553528213,0.711631439318335,0.001044689489438295,0.01459089131635549
1,0.4765053753876806,0.4974525652043518,0.4723618090452261,0.02040168185503547,0.1428344561197874,0.1376546180126092,-0.7293918775733568,6.820737043331143,359.7607077205883,0.01596777162576301,0.09380142501667026,0.8642586484555048,0.002772043190820961,0.005489512355031388
2,0.4911390715954351,0.5160929335296878,0.5254901960784314,0.02513432839165289,0.1585380976032351,-0.860166976638511,0.2983833460394361,7.208611606191483,603.4486979166666,0.01138241023744889,0.05915811461864851,0.8156917343951885,0.001654431277397472,0.009207675462840743
3,0.4316807765586703,0.4805014847892947,0.4627450980392157,0.04453338403442015,0.2110293440126755,-0.2126525512710738,-1.310289822763425,7.457242727040662,788.9705575980392,0.01274439837116091,0.1028998892705197,0.8638274612211922,0.001265890384639112,0.01203770610458378
4,0.6716646680644914,0.6789377392301049,0.6862745098039216,0.009823027424702634,0.09911118718238943,-1.005504588780061,1.500261557732856,6.571435733079529,147.264200367647,0.02135848489618366,0.143904992417115,0.8849261271913297,0.006745688272698698,0.00224685187828224
5,0.562211519129136,0.5968740837673577,0.615686274509804,0.04017687963163183,0.200441711306883,-1.138576793131547,0.7398514174432598,7.350771895344312,1074.555683210785,0.01084307811320431,0.05851874868251846,0.7948042291400701,0.0009297613290364047,0.0163964058909929
6,0.5921608719171262,0.6122384162388541,0.6274509803921569,0.02418138008900932,0.1555036336842626,-1.648272096338238,3.110604460524602,6.975579839388735,712.7889705882353,0.01331640803840221,0.06191342335374171,0.7739230493174183,0.001401000432199589,0.0108762617822864
7,0.489756904632939,0.5027012293326468,0.5060728744939271,0.01284670033691666,0.1133432853631686,-0.4563806344909565,0.370163926466939,6.786366316402962,740.243443627451,0.01377249397581359,0.05748274981819982,0.5569578284988413,0.001349109512131129,0.01129521213182574
8,0.489027255189185,0.5219765403283438,0.5137254901960784,0.03331185233527892,0.1825153482183866,-0.81741256441824,0.4301764460738275,7.328814298802127,607.8077665441176,0.01651629377795013,0.1210138136049452,0.8598143851111889,0.001642599166116123,0.00927361118313611
9,0.5131141213809742,0.5447815260147932,0.5490196078431373,0.03350080952643761,0.1830322636215747,-0.8387251914477304,0.3068053048129671,7.323963704326262,717.7804993872551,0.01407662675777785,0.1101413669371418,0.8354745259935995,0.001391272558558587,0.01095137029679643
10,0.4706209070542279,0.5112698461748638,0.4941176470588236,0.03991281745112467,0.1997819247357595,-0.2834168563073162,-0.3261759627486516,7.590285955825233,1177.407981004902,0.009718289860458954,0.06211756780072534,0.7736284539452902,0.000848609533500151,0.01796526421292232
11,0.9096174053117342,0.9319518394124515,0.9921568627450981,0.04113040693820036,0.2028063286443506,-2.845811234959191,7.179461519431188,4.769044385846813,671.75859375,0.2540084963850475,0.4186445108326943,0.874829922055504,0.001486978709034199,0.01025021641566757
12,0.5859045888863358,0.615003577922676,0.6392156862745098,0.0349452135796268,0.1869363891264267,-1.188368325016579,0.7386046469567331,7.229886859328233,634.0699754901963,0.01359738531435594,0.1006052221681634,0.8608487778197516,0.001574663344039112,0.00967510025388275
13,0.4815938313802083,0.5087919808051751,0.5254901960784314,0.02693666130818516,0.164123920584981,-0.9580370963480969,0.5484842401851342,7.189496237615124,435.0838388480392,0.0188430450599714,0.1629989326309302,0.876001743991404,0.002293236122194534,0.006638441884923141
14,0.4576458233618454,0.480137988960244,0.4901185770750988,0.02109278880224599,0.1452335663758416,-1.174434115941161,1.151526632874855,6.82285826351958,437.9878216911766,0.01879532539852165,0.09933998258198727,0.8404505179358951,0.002278065056842379,0.006683128546949897
15,0.453867773916207,0.4872220509024791,0.4784313725490196,0.03138937068596462,0.1771704565833836,-0.5438380066693074,-0.07272640818320752,7.352605287232596,619.0428615196079,0.01585077534217177,0.1111834160529492,0.8484949886751537,0.001612832961582793,0.009445819715349456
16,0.6122988953882333,0.6292544375046417,0.5836734693877551,0.02105120982563217,0.1450903505600292,0.2085786747166389,-0.6754740882809118,7.094302545391914,31.79776348039216,0.02917463866532305,0.3229669931338779,0.98841511444887,0.03051702973326154,0.0004850221133401695
17,0.4665121799045139,0.4941251956339227,0.4755555555555556,0.02652609496100081,0.162868336275044,-0.531252648899936,0.1467683367302874,7.133453439022367,527.1497242647059,0.01295466897736676,0.08538369800464632,0.847381822745133,0.001893448927567507,0.008043658195972237
18,0.604485334750421,0.6349655994433906,0.6646706586826348,0.03777879254817566,0.1943676736192921,-0.8549248182835228,-0.1450070215161019,6.814266361592174,216.1423100490197,0.02534256613329432,0.1668320756167294,0.9560839792016177,0.004605812302895315,0.00329743195839315
19,0.4520029340471541,0.4600835750425269,0.4682539682539683,0.007370243636676631,0.08585012310228,-0.540530222366933,0.1927842625238712,6.394804899053172,202.4692861519608,0.02073975840132935,0.1204609283993223,0.7902640592349008,0.004915247701330623,0.003089432890699895
20,0.6589351505428165,0.6730576338323357,0.6666666666666666,0.01881104583909815,0.1371533661238329,-0.04699273135910264,-0.8479701294719453,6.940522343410857,26.75790441176471,0.02829747320149523,0.3223832180171517,0.9890862505711063,0.03606253785766118,0.0004080603774443629
21,0.386503511316636,0.4184783898588003,0.4196078431372549,0.02573919851872504,0.1604344056576551,-0.7092742129327204,-0.02186711773504557,7.1396842066289,574.4000765931374,0.01952802381082558,0.1594255909710452,0.8285503597315836,0.001737980198472962,0.008764243253067376
22,0.53546417834712,0.5416199658003497,0.5372549019607843,0.006630301060615503,0.08142666062547023,-0.3239245264784413,1.867698039808321,6.366368617370703,73.01527267156864,0.02979594719401506,0.239995980727504,0.9154610740332779,0.01351616620279948,0.00111397200939344
23,0.4873682957069546,0.5058756999355156,0.5254901960784314,0.01838236812494626,0.1355815921316248,-1.288735677174581,1.382530772929603,6.858546159398597,328.3707720588235,0.01607381760867095,0.09198444571777369,0.8629421733889148,0.003036240276334585,0.005010360455063847
24,0.4807879878025429,0.5453475402667732,0.5333333333333333,0.06624685045980168,0.2573846352442229,-0.4073710137851237,-0.9937694099643544,7.660751299174573,695.8876225490196,0.0182472954220319,0.17353089469677,0.9192796216466758,0.001434989160825284,0.01061715193869104
25,0.5706278270258563,0.5755703605587572,0.5774058577405857,0.005665122977487141,0.07526701121664883,-0.2730360851998401,1.404268960507645,6.120870022204278,301.7188725490196,0.02494272419705374,0.1175661801249009,0.5913246265338422,0.00330366717488761,0.00460384271650796
26,0.4844201779833027,0.5093272703254013,0.4941176470588236,0.02475135945974965,0.1573256478129032,-0.3633022925417071,0.4676957090765481,7.294911035356519,1161.856939338235,0.009783819196078946,0.0482720653082054,0.6396109140512165,0.0008599582458054412,0.01772817038944559
27,0.4561024385340074,0.4864511959081369,0.4745098039215686,0.0286053315637886,0.1691311076171045,-0.6798860424104693,0.2243294836913448,7.246043888830802,404.4947610294118,0.01583746064380673,0.1415311285313806,0.891338502179306,0.002466219430589968,0.006172095887099422
28,0.4223136752259498,0.4681126469554271,0.4470588235294118,0.0407806099567674,0.2019420955540657,-0.3461070914321022,-0.8487949033951572,7.52447455830825,526.875168504902,0.01374050996188422,0.1115029481669939,0.9007573520979926,0.001894436583098065,0.008039438747716742
29,0.5630220899394914,0.5750403844437487,0.5725490196078431,0.01367756998138155,0.1169511435659419,-1.092812012557587,3.106749443159571,6.798287675040396,610.6136642156863,0.0142129953557359,0.06992723304868281,0.6570289481810252,0.001635057059002734,0.009317153620690119
30,0.420301669251685,0.4493579772293263,0.4431372549019608,0.0252690985238789,0.1589625695686846,-0.6846689167698894,0.03182377562592453,7.142216330747215,542.6331801470586,0.01542718884817973,0.1035086683993719,0.8351375660840625,0.001839527856767535,0.008279716015171428
31,0.6694547630581459,0.6802990837713014,0.6837944664031621,0.01463716359883376,0.1209841460639937,-1.116888150151594,1.985574921850365,6.761536279152999,123.31015625,0.02904048974973742,0.2235477070164317,0.9357506737433697,0.008046274720683167,0.001881135668700811
32,0.4687224145029105,0.5210378831227286,0.5176470588235295,0.05177977379157592,0.2275516947675317,-0.5838310752927813,-0.5940935600336714,7.453493480883919,638.8368719362745,0.02736769578864286,0.1897626397266492,0.9049768839638714,0.001562965216009246,0.009745643652316007
33,0.5025034586588542,0.5340029350852348,0.5568627450980392,0.03264940871553469,0.1806914738318737,-1.408047037949036,1.459282612065216,6.870461741727699,462.8142616421569,0.0260708278193239,0.1746176413591433,0.8911423864798508,0.002156156667646411,0.007061825273544175
34,0.4013426773191436,0.455115900340134,0.4488188976377953,0.04605453810471249,0.2146032108443685,-0.277970030237858,-1.332226434082189,7.36022768808226,447.2225337009805,0.02121450163158785,0.1568772587490553,0.9260113364239836,0.002231140242483812,0.006824060254044593
35,0.7512425801840174,0.7595570830794355,0.7670682730923695,0.01256154817460076,0.1120783126862675,-2.491669265321583,8.447431841465688,6.151668901987532,26.04131433823529,0.04896726199442473,0.3680953147156545,0.9841662616002861,0.03704753785120884,0.0003972613932625725
36,0.9589096966911765,0.9682765694916521,0.996078431372549,0.01805170861815819,0.1343566470933172,-4.874283938442628,24.79995342907073,3.46281722737295,519.9170189950981,0.415119073484618,0.5818572041844662,0.779314338131728,0.001921222574116632,0.007933298338549078
37,0.4885614133348652,0.5331371817842426,0.5411764705882353,0.04554300000108363,0.2134080598315903,-0.8298776903404355,-0.1467646846231196,7.445272590404332,682.8738051470589,0.01790370768116087,0.1427683810652436,0.8845389154758457,0.001462296366669065,0.01041708036207353
38,0.6566147123064314,0.6669504416629003,0.6294642857142857,0.01368001121708013,0.1169615800897035,0.1821360049624734,0.24138438425841,6.532660798577592,17.17636335784314,0.04524553639380677,0.4061767957234113,0.990364826279928,0.05515379745737398,0.0002620904851971235
39,0.4882865756165747,0.5496720110868099,0.5686274509803921,0.06371553984485703,0.2524193729586876,-0.5964754061285306,-0.9526140913786003,7.556401196525275,601.3872855392156,0.01776227716014293,0.1953407946187279,0.9275151395204533,0.001660110549060695,0.009175934340577088
