,Mean_R,RMS_R,Median_R,Variance_R,Std_R,Skewness_R,Kurtosis_R,Contrast_R,Entropy_R,Energy_R,Homogeneity_R,Correlation_R,Mean_G,RMS_G,Median_G,Variance_G,Std_G,Skewness_G,Kurtosis_G,Contrast_G,Entropy_G,Energy_G,Homogeneity_G,Correlation_G,Mean_B,RMS_B,Median_B,Variance_B,Std_B,Skewness_B,Kurtosis_B,Contrast_B,Entropy_B,Energy_B,Homogeneity_B,Correlation_B
281,123.4238586425781,10.08234528884215,127,1222.318085550331,34.96166594357784,0.009043148886247795,-0.8046174391518206,7.066453576506881,56.95229779411763,0.02306643498623783,0.2526721034809229,0.9767380052652043,129.0606994628906,10.12739892491527,127,1603.939125633799,40.04920880159555,0.1246286703957565,-0.9629068641621603,7.200688584859672,56.00828737745098,0.02199377237638843,0.2553799187655096,0.982572255338854,84.88758850097656,10.23690256837174,127,1007.133680183208,31.73536954540167,0.08110347616491845,-0.56090290627693,6.920564967335076,51.95124080882353,0.02420258786380736,0.2539173514471437,0.9742169617094989
282,140.9125823974609,10.28712328085495,144,1240.50027747429,35.2207364697885,-0.7297923456836403,0.4361970244172433,7.041777885138548,48.60033700980391,0.02688112291161012,0.2900119464856801,0.9804532845476472,146.7722473144531,10.11993507575518,144,764.8165979525074,27.65531771563125,-1.626876250854955,3.606483970546781,6.511867874131929,48.34215686274511,0.03321479037366144,0.2961952266122218,0.9684885632475095,125.384033203125,10.65619129153549,144,2688.265818059444,51.84848906245431,-0.2564135894493851,-1.379561191548093,7.18976528133631,51.94868259803923,0.02623533092583294,0.283136551167695,0.99034949300775
283,115.2358245849609,10.20656033643887,125,2392.53876237548,48.91358464041947,-0.3553288807800326,-0.7370006210632467,7.5172259106883,1394.492555147059,0.009039573847629193,0.05106910309389218,0.7088934327751453,113.4229431152344,10.10557218129325,125,2031.975751689635,45.07744171633563,-0.3770802166437832,-0.458813579011434,7.402912615051765,1395.779718137255,0.009760141794938969,0.0514639542173765,0.6571402109718041,110.1317138671875,10.16866878953051,125,2388.911331877112,48.87649058470864,-0.3589110100774254,-0.7591381532285393,7.517870872336601,1391.58606004902,0.008924280538187888,0.05082280189191678,0.7090416073858389
284,121.8067169189453,10.20895205328966,132,2520.760477954289,50.20717556240631,-0.3881715065948573,-0.6880136786523803,7.482115657910065,1183.484574142157,0.01053765698973151,0.06903836994987099,0.7655153374440641,120.8648223876953,10.05402050162373,132,2299.719443687936,47.95539014217209,-0.4247381871905611,-0.4176029407308337,7.425721552789397,1184.617463235294,0.01164584484285096,0.06998765180630771,0.7428648587218862,109.8757934570312,10.01019835192699,132,2930.510176982731,54.13418676753841,-0.4195103898901796,-0.7807025775146772,7.537539358096008,1177.06803002451,0.01063141439546077,0.07129763439795118,0.7993663473358202
285,156.4334259033203,9.950358199376465,153,802.0928884462919,28.32124447206181,0.4542087008387835,0.214887176032994,6.785419982373559,113.8285845588236,0.02149464913062222,0.1729775993567522,0.9292274508931405,155.9208374023438,10.11690093706133,153,692.7628983221948,26.32038940293617,0.4809211149996362,0.7494731543344684,6.662093112554328,113.8973192401961,0.02287601987319583,0.1723645296707675,0.9180192215607205,140.6981658935547,10.24188432164745,153,681.2855898977723,26.10144804216372,-1.085486092316466,1.831850167882226,6.603152894031387,114.2106770833334,0.02385277051766155,0.1699989347866185,0.9162430623527515
286,86.76570129394531,9.990115812163024,95,1474.327992910286,38.39697895551532,-0.2555227834351146,-1.263884725589851,7.030062784811781,84.33383884803922,0.02330653528772424,0.2601204889324946,0.9714220762555268,92.26483154296875,9.997217935759835,95,1136.160851802677,33.7069852078568,-0.3353131518483039,-0.9038057961301815,6.976292645438989,83.28929227941178,0.02324002899784228,0.2609115131094278,0.9633757784735134,81.32896423339844,10.04434518718158,95,2052.605634461856,45.30569097212684,-0.07096682990705337,-1.43684710261658,7.180361599453792,84.31207107843136,0.02191220292733592,0.2585010569028118,0.9794669931149851
287,130.4558868408203,10.53652052484632,144,3164.846259595593,56.25696632058641,-0.4190208916350827,-1.075808253747344,7.567842067575349,502.3449448529412,0.01240491063161111,0.1099737081063168,0.9207605346462188,130.9770202636719,10.19892925551425,144,2282.850820808671,47.77918815560465,-0.7168457401060262,-0.2233740980299168,7.374068753180162,499.145787377451,0.01374452270454383,0.1108706530857653,0.8908778848280997,120.4608154296875,10.3260579082159,144,2965.01473043859,54.45194882131025,-0.4965320997266013,-0.824834154015043,7.570371647597106,502.6990502450981,0.01216372330728839,0.1103773295663383,0.9153659033565343
288,98.09284973144531,10.43674927712805,96,1707.652160787722,41.32374814543959,0.1755535962703001,-0.9203141789245546,7.305093508126457,192.958425245098,0.01442806539666514,0.1359217515525036,0.9433554191209714,109.0662536621094,10.15553182556956,96,1449.83948252257,38.07675777324757,-0.5326965147689474,-0.4307709401065458,7.173203341958074,193.7397824754902,0.01496701240848988,0.1363668737764097,0.9329901498755331,73.02519226074219,10.53189112129537,96,1661.02327587246,40.75565329954189,0.5506723843099294,-0.5925933644602566,7.193045596053463,190.4867953431373,0.0155911873428317,0.1368608857934471,0.9424640731449692
289,132.4799957275391,10.606731911424,151,2326.908962622052,48.23804476367229,-1.280787758817558,0.4069875583414473,6.898072052025681,280.9700980392158,0.01967009591513844,0.1308286480706597,0.9397688060205796,126.5420684814453,10.08963807620417,151,1878.811950945994,43.34526445813884,-1.450312909358161,1.017485069998735,6.757344064777613,278.8576899509804,0.02002233095281189,0.132159294524046,0.9259803365652562,112.3883666992188,10.07750876265201,151,2815.391682293266,53.06026462705653,-0.8400676997878707,-0.7155717053490114,7.114287242575148,276.2350490196079,0.01667356425356678,0.1272313108103185,0.9510379381651641
290,101.4463348388672,9.85645339165737,100,944.1423837223556,30.72690000182829,-0.4668117683846953,0.2555211543394527,6.772164883146528,32.75050551470589,0.03669036729635788,0.3451981768605552,0.9827045818250938,108.7558135986328,9.867260954546463,100,1047.340534744551,32.36264103475721,-0.5585413561598942,0.3400969953251538,6.830692769852112,31.40093443627451,0.03569067282060801,0.3475993331712053,0.9850540489995552,74.95901489257812,9.866483855057453,100,1569.72015249636,39.61969399801518,-0.1885863755222831,-1.013430314846291,6.966458463736102,29.39975490196078,0.03348852372328372,0.3447927258045056,0.9906481158505182
