,Mean_G,RMS_G,Median_G,Variance_G,Std_G,Skewness_G,Kurtosis_G,Contrast_G,Entropy_G,Energy_G,Homogeneity_G,Correlation_G
13,129.14501953125,10.07046705176205,131.0,1444.525111913681,38.00690873925004,-0.2590207070849589,0.4038480390239112,7.266452029070702,1261.255116421569,0.009440873950686905,0.03853643131081654,0.5642691073373954
14,135.9043731689453,10.39463987870709,142.0,2882.905360514065,53.69269373494,-0.4392507230639688,-0.6590971598560573,7.622914416613166,889.9863511029414,0.01199793784670054,0.1002163374839713,0.8456433199024372
15,122.9576263427734,9.471240229214555,126.0,834.7710468803998,28.89240465728666,-0.05782559801246169,0.5161368172439973,6.720543713819191,47.60686274509803,0.03077866415830163,0.2884001195216128,0.9715304913641494
16,124.0247344970703,10.15039569853876,129.0,2197.778578268131,46.88047118223249,-0.5004829926228634,0.10127109511967,7.476591985762616,1681.546721813726,0.009947747296969388,0.04989041160247396,0.6178415439342066
17,143.3235015869141,10.21959288501022,144.0,1026.056159101194,32.03211137438795,-0.2204083879151487,-0.4859882165939684,6.9517446455336,32.40531556372549,0.03115427717356364,0.3677041059015972,0.9842375577825067
18,225.6746215820312,7.393064971171885,251.0,2722.075708474964,52.17351539310883,-2.137339949628173,3.613781064728856,5.386042654938183,1397.512898284314,0.1379375248430751,0.2518585314777014,0.7440214541258695
19,101.1726379394531,9.936234687527515,109.0,829.2128108879551,28.79605547445614,-0.842188273701487,0.1616569444996951,6.690914145674649,90.58330269607843,0.02735225759476839,0.2431636802555205,0.945521700531315
20,130.1957702636719,10.16742624249049,140.0,2216.734836845659,47.08221359330569,-1.017298926160359,0.4456074561307046,7.288186899994101,745.9372549019607,0.01355623232372235,0.1088170937934534,0.8320594394901699
21,121.4798583984375,10.17078137122079,124.0,2083.674734696746,45.6472861701191,-0.169016621226885,-0.2246007331206772,7.508148406950925,1778.370848651961,0.008579224621937475,0.04186064093130755,0.5741594664151413
22,129.0032653808594,9.885668436159868,136.0,1917.481617755257,43.78905819671458,-1.239870652680332,1.779525716440349,7.010364199440944,582.2619485294117,0.02406023428120305,0.1299847609224107,0.848217050046594
23,87.84986877441406,9.372860270139244,96.0,2307.989347211784,48.04153772738528,-0.5708351709523228,-0.632958027088911,6.733305210709142,550.5281556372548,0.1218350737638881,0.1858602162773798,0.880171448930225
24,118.3735504150391,10.05410852669701,133.0,1446.424379154807,38.03188634757428,-1.06065326045096,0.160031790041812,6.822115825010241,328.2426317401962,0.02871877019211998,0.2058775291996622,0.886784724491357
