,Mean1,Variance1,Skewness1,Kurtosis1,Contrast1,Entropy1,Energy1,Homo1,Corre1,Mean2,Variance2,Skewness2,Kurtosis2,Contrast2,Entropy2,Energy2,Homo2,Corre2,Mean3,Variance3,Skewness3,Kurtosis3,Contrast3,Entropy3,Energy3,Homo13,Corre3
20,127.7472839355469,73.85424621777312,-0.006271574056654308,-1.204007257790203,7.25020121038331,1973.919362745098,0.01339005773227381,0.08535426814621393,0.819166251259586,127.8618774414062,73.91893469726108,-0.01048215269492138,-1.202839147343977,7.070194206631967,2685.624264705883,0.01423849734961658,0.08398604006525204,0.7543296059485148,126.7750396728516,74.39643065493117,-0.002132158920435046,-1.204318255006154,7.418835571037411,1360.256801470589,0.01333350791948848,0.08842886424090562,0.8771731785084208
21,127.7313690185547,73.68286736900953,-0.009177427401887518,-1.204698790867977,7.349655823265731,4950.050520833333,0.009001150408795369,0.03546068285829129,0.5446313332283156,127.824462890625,73.65540338765271,-0.01078486327206872,-1.201752963141234,7.303018742711133,5298.890364583333,0.00924433158873541,0.03760393809338538,0.5123662000253141,125.6887054443359,74.80312011655191,-0.003432777511383758,-1.209713635278585,7.483336905677199,3711.019301470588,0.009165405045821994,0.03709981618866977,0.6685597536420428
22,128.0025329589844,73.59768098199744,-0.008143658067063736,-1.211864635031568,7.002853424241832,2195.03996629902,0.02653191581188372,0.1078065623667669,0.7975345374314811,128.1600799560547,73.6539454505863,-0.01432446571556542,-1.208600431592273,6.800405357692926,2852.113005514706,0.0244344929053858,0.09800313949344236,0.7372308837925172,127.0096588134766,74.0917499851542,-0.00241921612202314,-1.20689612897381,7.447384127438014,1084.299509803922,0.01697883110193382,0.1145892930054308,0.9013075176694337
23,111.5897674560547,80.89332940269341,0.1058401022611501,-1.287431591937445,6.85677156687883,1574.624708946078,0.1203700081505205,0.1678543786883651,0.8794216536189837,111.0810241699219,81.18239053053227,0.1086124797014384,-1.295633661901459,6.591464577563933,2551.455162377451,0.1219991262663822,0.1714308493920111,0.806050778138571,110.0819549560547,81.38324793676962,0.1216077521204364,-1.295601985255846,6.761227304036065,1753.055238970588,0.1306669708809441,0.1732519354583135,0.8673835285552133
24,128.6119232177734,74.51304656041657,-0.01138415915853589,-1.230778545052851,6.646668591116182,2017.773881740196,0.0300279953709083,0.1392846561708359,0.8184484164308304,128.60546875,74.33418418271873,-0.02056126348435191,-1.230625741353959,6.637549038058402,2192.094010416667,0.02931182436894996,0.1439381920372782,0.801828945006874,128.0463256835938,74.60361575399487,-0.003618605685139083,-1.222029436720109,6.834708586390687,1460.746461397059,0.02771335733346694,0.1355404211249447,0.8688287224172074
25,127.8970031738281,73.74837507845439,-0.0141190113479338,-1.199315082597881,7.034780866247192,2227.303079044118,0.01284185308629089,0.05809413143417091,0.7954224484448544,128.1550903320312,73.67444629305686,-0.01446938531966445,-1.201536377685398,6.781625819756778,3172.757521446079,0.01367556255880322,0.05371146379368817,0.7078944379414025,127.0136566162109,74.139151268913,-0.005424414931830305,-1.204149449756607,7.393050192987142,1345.733961397059,0.01195679468402653,0.06690032200177563,0.8777113868238511
26,128.0341796875,73.84678598459666,0.007798784621769297,-1.200518173119266,7.002074256868625,395.4291053921569,0.0206645388629983,0.1199540799865214,0.9637783353402922,128.156494140625,73.83057545909459,0.002246101509779589,-1.199744735513068,6.921037537406572,469.5212009803923,0.02079931171753996,0.1165357734393135,0.9569375854182769,127.9682006835938,74.02333069441345,0.005922412537792698,-1.202225728509722,7.011165998462107,381.8181219362745,0.02091179492298429,0.1188558710031855,0.965185899034783
27,127.7078857421875,74.04255501861218,-0.01478734373725753,-1.211297134968117,7.065774953262013,3601.789583333333,0.01195227992294162,0.04559738379393301,0.6719541193763161,127.6205139160156,74.13148798795392,-0.02193587230903032,-1.202861360290968,6.717146700106261,5963.739476102941,0.01402251125260181,0.04399428974783287,0.4583077757392653,126.6999664306641,74.55849085348015,-0.01012562552893026,-1.211154915372017,7.16261995430002,3046.340058210784,0.01186985078140448,0.04752360233623916,0.7263628972451667
28,127.6985168457031,73.7492888124307,-0.01119022414179531,-1.20453599846163,7.297895583340964,2549.477665441176,0.01119239347372811,0.05859111842709991,0.7657042788257589,127.8328552246094,73.6609046934058,-0.01158787326277335,-1.200905635645388,7.205058934622976,2981.501424632354,0.01157478166289893,0.05756298802872525,0.7253894063553228,126.7211456298828,74.28956109426905,-0.009685867479252803,-1.208193696893919,7.387872117042565,2143.310768995098,0.01086281882214001,0.05783819400140037,0.8058253191438677
29,127.6856231689453,73.64596076803774,-0.006866174834169219,-1.204270104274455,7.433627399388315,5063.185493259803,0.00924560071370106,0.04195187121895835,0.5336467498649404,127.7221374511719,73.63513550328778,-0.008379350777756485,-1.204058159552712,7.394616969085541,5344.406893382353,0.009465201277988923,0.04207098655002087,0.5076930841252002,126.0325317382812,74.57602357508706,-0.005349125015960391,-1.209424204046727,7.451563644334807,4633.563005514706,0.009543025414417443,0.04255829023068539,0.583755388623303
30,127.7860717773438,73.82359988677669,-0.002026123421023912,-1.204689225884315,7.344619098860404,1116.483700980392,0.01530101622457037,0.09925371731275703,0.897656613304614,127.9586791992188,73.79403686656585,-0.01030600001512263,-1.202566523681222,7.068308933028094,2179.278676470589,0.01616673394679308,0.102005527535694,0.800038317691597,127.6240844726562,73.87956179249487,-0.001843370237167404,-1.205310419419645,7.441428791683984,986.1699601715686,0.01493978544129275,0.1044863530949289,0.9097335083522274
31,129.4452819824219,73.43646003473134,-0.04389884183556569,-1.206379363956521,5.960757512303919,254.1133272058824,0.05300862677241274,0.2829511361755501,0.976476719226481,128.79345703125,73.28695863233943,-0.03089053277096129,-1.18283027728141,6.429016149336924,140.6164981617647,0.045812608565721,0.2922061202710672,0.9869263364796899,128.5226593017578,74.4513311315464,0.003500611608977701,-1.207419714549715,6.424714056912213,112.5575367647059,0.0457622349814233,0.2809965288539632,0.9898509299450626
32,127.6837615966797,73.69397420062394,-0.007425656266388879,-1.20523987707475,7.381870735121399,4432.628262867647,0.01066284311793074,0.04402261778581782,0.5922218789932387,127.7839660644531,73.63283419590411,-0.008709948832458216,-1.20503707759376,7.342584303619898,4987.398774509804,0.01078886048453842,0.04701131074260021,0.5407206484404757,125.7553100585938,74.71464106995015,-0.003416509428459796,-1.209878526537831,7.462060032053875,3642.452696078431,0.01037994988790241,0.04597834379681703,0.6738769703962063
