,Mean_R,Variance_R,Skewness_R,Kurtosis_R,Contrast_R,Entropy_R,Energy_R,Homogeneity_R,Correlation_R,Mean_G,Variance_G,Skewness_G,Kurtosis_G,Contrast_G,Entropy_G,Energy_G,Homogeneity_G,Correlation_G,Mean_B,Variance_B,Skewness_B,Kurtosis_B,Contrast_B,Entropy_B,Energy_B,Homogeneity_B,Correlation_B,Std_R,std_R
241,113.9803161621094,399.3896271949634,0.2251623486990911,0.363137842373586,6.34320764237526,166.4476102941177,0.02221697459726844,0.1604031924986405,0.791799046975399,19.98473485425722,19.98473485425722,110.0093231201172,513.2452591487672,-0.1322983754260729,-0.2667328162186946,6.516135704241857,167.0358455882353,0.02134320784924084,0.1650736246284288,0.8375005196716918,81.17440795898438,929.2551043247804,0.02626368125819052,-1.0871085709666,6.773157979505094,165.0177083333333,0.02074932827473229,0.1594585527939203,0.9111331220875103
242,97.27890014648438,2197.749332628213,0.1020758517661527,-0.8699310809967113,7.467486445248403,1551.751608455882,0.00922837651630459,0.05233270003342838,0.6470666482391582,46.88015926410887,46.88015926410887,97.01039123535156,1800.746947075939,0.1947907168237356,-0.4941444658890042,7.3713991830263,1552.136703431373,0.009697598635634816,0.05304115175067262,0.5696177962126218,89.01072692871094,2222.577994674211,0.1034803457638524,-0.9217361892540774,7.472088552524059,1547.444178921569,0.00902736476611966,0.052205688390162,0.6518551054404316
243,128.8579254150391,1899.055483147269,-0.5251042615628809,0.2148302828278097,7.341187546238217,686.8716299019608,0.01195118041858173,0.07685241299979181,0.8193082513793442,43.57815373724854,43.57815373724854,127.3715057373047,1649.280333706876,-0.5278139419218342,0.6384529854523358,7.21880819637158,688.2449142156863,0.01240267825658517,0.07707424377755223,0.791463132883129,118.3907470703125,2373.102474197745,-0.5311928660151358,-0.1174659120834947,7.458047863241712,686.2373008578433,0.01138236900527274,0.07628349867132854,0.8555437299943502
244,109.6230316162109,3553.545867860084,-0.287727092755968,-1.148867033245909,7.570078314994777,805.9640318627454,0.01980997652488813,0.1345797896262636,0.8865246203413987,59.61162527443858,59.61162527443858,118.4404754638672,3261.523464886239,-0.6457677463074926,-0.8457045185597685,7.337429358138806,804.0709865196078,0.0226106781179199,0.1347810706565699,0.8768253478814644,105.3245086669922,3544.709650790086,-0.180465034244002,-1.206561092717189,7.632956982051764,803.2780637254903,0.01563553926563336,0.1276922351420341,0.8865704326074122
245,110.7553558349609,1638.501657411223,-0.1297900238200182,-1.073112065862729,7.178259955265472,248.9091911764706,0.01561936713633954,0.1151356829677289,0.9241900880194416,40.4784097688042,40.4784097688042,114.90625,868.8963317871094,-0.2412259665212182,-0.381762523357517,6.837635218350654,246.3413602941177,0.01721208506080896,0.1159942190781309,0.8585213935885344,105.4619750976562,1659.066333647817,-0.0871789468419193,-1.211308824204223,7.134687331505075,248.318443627451,0.01541072194176938,0.1146412996980771,0.9252432371210543
246,105.7565307617188,2854.731005933136,-0.1012113628524497,-1.190200487804201,7.572649576094733,998.5116421568628,0.01092361001505479,0.08682424905663431,0.8251184118613296,53.42968281707403,53.42968281707403,98.46372985839844,2310.159634183859,-0.1608719642968137,-1.061442623347112,7.361638281081398,1000.771338848039,0.01363495531712165,0.09023005845116576,0.7835849821198296,81.56391906738281,2442.492221725872,-0.05830634536187632,-1.18095341680842,7.369473168042144,992.3817401960786,0.012893389429123,0.09123437860789727,0.7968808057757981
247,112.7283477783203,2660.462231071433,-0.4848663703372488,-0.7302951982925783,7.45420913107787,1129.164767156863,0.01174436318882896,0.08584513143708615,0.7878787264227862,51.57966877628658,51.57966877628658,111.7126312255859,2663.15898107714,-0.2917957132171567,-0.6211159058701927,7.488342461326126,1132.855254289216,0.01420192916885641,0.08860442799581106,0.7874602456970806,105.6164855957031,2634.109020217322,-0.4602857638490686,-0.79955545030972,7.424897958804825,1125.809114583334,0.01207914328850944,0.0864462325557438,0.7863615956273168
248,120.7281341552734,2390.033190402901,-0.3337609555817202,-0.9418478730185971,7.451123766123152,1022.073988970588,0.01154215630584603,0.08298570036936607,0.7863909732157098,48.8879657012122,48.8879657012122,111.4841613769531,2258.652062370442,-0.3632751982549639,-0.6680584293382372,7.398060680239608,1022.185340073529,0.01272517930557541,0.08480819041542662,0.7740781524730354,86.46635437011719,2471.698178274324,-0.1607694115241928,-1.136085505880552,7.395202470866982,1008.886197916667,0.01295327412740553,0.08662227558995447,0.7960439233613026
249,124.7920227050781,1732.752155601047,-0.5989178941201787,-0.06694298434465384,7.320164745520674,905.1463848039218,0.01031044912062806,0.05090211180173207,0.7391500804313804,41.62633968536084,41.62633968536084,126.1843414306641,900.6187434566673,-0.8347420825839593,2.315313661615344,6.846368071113655,904.3687653186277,0.01241226705836651,0.05083212711360431,0.4981905111216242,113.0836334228516,2553.998269732809,-0.5496317499989948,-0.7470582706496254,7.42193665110956,899.2064950980392,0.01061663772122552,0.05361375740990247,0.824208606551422
250,109.9269561767578,1173.4861349368,0.2617980741732401,0.2180103179793584,6.990705459177326,47.99673713235295,0.03218250042591059,0.3112398651434212,0.9795979677554066,34.2561838933761,34.2561838933761,123.2545623779297,1592.246706174454,0.1068085597822645,-0.4044838165927844,7.204850291158468,47.1360294117647,0.030772419367368,0.3143872900155741,0.9852330895512273,78.89683532714844,1229.976005609846,-0.0933277672341301,-1.012907233541344,6.927260005582522,36.9593443627451,0.03105878065124804,0.3164332323418693,0.9849939562411525
251,125.4380950927734,2726.608014706289,-0.4656702678811029,-0.7976104643351194,7.538211337956437,818.4115655637256,0.0114088299691045,0.08776008690621016,0.8501994396581948,52.21693226058277,52.21693226058277,130.8428039550781,2379.669686376117,-0.5786061172106268,-0.2763723492620094,7.475595436812278,813.0245251225491,0.01126863890995828,0.08842726409329715,0.8295570029149354,109.1892395019531,3314.591049983166,-0.26595780566316,-1.143740356115745,7.619641212031553,802.7118412990197,0.01138873760636482,0.09012311434695174,0.8790787104443337
