,Mean_R,RMS_R,Median_R,Variance_R,Std_R,Skewness_R,Kurtosis_R,Contrast_R,Entropy_R,Energy_R,Homogeneity_R,Correlation_R,IDM_R,Smoothness_R
137,0.4592109829771752,0.5046900021850687,0.5058823529411764,0.04383727141870104,0.2093735212931689,-0.4215874611021447,-0.8344539450984572,7.591743384587281,1437.864031862745,0.008608087307130315,0.04851026390388549,0.7480027478008094,0.0006949968589450651,0.021939829732995
138,0.3884574142156861,0.48040729939995,0.3882352941176471,0.07989201065761592,0.2826517480179734,0.03204170800028231,-1.560056258367291,7.235490068517545,296.5417432598039,0.07712307784781577,0.3296897718137917,0.9714518862451536,0.003361744329084616,0.004521807594731828
139,0.4809612199371936,0.5110108720319786,0.5215686274509804,0.02980841625140968,0.1726511403130882,-0.9218632418786706,0.5928751450999332,7.203788817562488,713.6696078431372,0.01655032903551103,0.1241409233133923,0.8162529821935369,0.001399280377360266,0.01088941667856264
140,0.5024418627095019,0.5229479642007915,0.5213675213675214,0.02102674785875835,0.1450060269739101,-0.5620073755164688,-0.2425588402970522,7.014020700920486,195.4777113970588,0.01738439482971012,0.1327632066447187,0.9286503259111246,0.005090086203453452,0.002982750878748454
141,0.6078869115526431,0.6205297081118,0.5841121495327103,0.01553062141230477,0.1246219138526799,-0.1838773303529397,0.6696216878471231,6.529492571205687,30.09874387254902,0.05474273073337562,0.3675007355287488,0.985138248723836,0.03221234258534478,0.0004592700990512021
142,0.4856244909618547,0.5123354784750607,0.5141700404858299,0.0266564962823088,0.1632681729006263,-0.4417819799681822,-0.7167841573944793,7.16805158021766,146.9726715686275,0.02284197928853072,0.2091095223530892,0.9576185560525855,0.006759048001445339,0.002242483418980547
143,0.4742551938132132,0.4916794865922033,0.4730290456431535,0.01683072867676423,0.1297332982574799,0.02780220970194061,-0.2592099429120198,6.986994594017643,62.53463541666667,0.02748703925743554,0.2971318745809545,0.9714918431384177,0.01574625889446675,0.0009538840657720963
144,0.4729545035013339,0.5190361925298135,0.5170731707317073,0.04571260677365246,0.2138050672310001,-0.2984863736943466,-1.224274663917349,7.216933588398264,309.9102175245098,0.01440188888356496,0.1037891532827354,0.9478525786700908,0.003216511608416153,0.004728854334308426
145,0.5476269860485281,0.5757206695411863,0.6224066390041494,0.03155897348835673,0.1776484547874164,-1.120666634917808,0.08634703143748945,6.852355226646263,372.1238970588236,0.02950466270010884,0.1981107037090665,0.9095390887463946,0.002680286866756966,0.005678116985980202
146,0.5219275381050859,0.576656113967555,0.5411764705882353,0.06012391874372604,0.2452017918852267,-0.3717214015884773,-0.9823255001175473,7.741380818623235,670.2966452205883,0.01238906721094896,0.1171308451356408,0.9144147362107201,0.001489681890843447,0.01022777982233382
147,0.4902993594898897,0.5123880124258253,0.5019607843137255,0.02214801336149157,0.1488220862691139,-0.567776466551587,1.050365721427673,7.184678350233454,673.3520220588235,0.01284846624236114,0.08625764895476375,0.7663953895271449,0.001482933276250943,0.01027379954755822
148,0.4768352433746936,0.4888510278557893,0.4823529411764706,0.01160347811145846,0.1077194416596116,0.2800550909690105,0.9462518194821326,6.730678624933319,127.9858762254902,0.02661351310633588,0.2369091936392327,0.9153465651679477,0.00775438676499172,0.001952655272417254
149,0.8071236404718137,0.8415451641515928,0.9568627450980393,0.0567496922984576,0.2382219391627429,-0.9397296688877871,-0.3722157400971327,5.378529311749205,498.9253216911765,0.371551628539032,0.4248627553250149,0.9325055558390081,0.002001786514141637,0.007612992907250898
