Mean_R,RMS_R,Median_R,Variance_R,Std_R,Skewness_R,Kurtosis_R,Contrast_R,Entropy_R,Energy_R,Homogeneity_R,Correlation_R,IDM_R,Smoothness_R,Mean_G,RMS_G,Median_G,Variance_G,Std_G,Skewness_G,Kurtosis_G,Contrast_G,Entropy_G,Energy_G,Homogeneity_G,Correlation_G,IDM_G,Smoothness_G,Mean_B,RMS_B,Median_B,Variance_B,Std_B,Skewness_B,Kurtosis_B,Contrast_B,Entropy_B,Energy_B,Homogeneity_B,Correlation_B,IDM_B,Smoothness_B,Label
0.499272126,0.53049812,0.521568627,0.032155599,0.179319824,-0.484763167,-0.322512493,7.417659776,956.4500613,0.010660268,0.07113592,0.771690882,0.001044453,0.01459419,0.487230189,0.512685663,0.521568627,0.025453333,0.159541006,-0.438263962,0.110940749,7.275191923,956.2337316,0.011504238,0.071128336,0.711631439,0.001044689,0.014590891,0.426361922,0.472332605,0.521568627,0.041313602,0.203257477,-0.40719646,-0.696663236,7.517716835,946.3697151,0.011526511,0.075315276,0.824158409,0.001055567,0.014440408,0
0.450862405,0.493340537,0.48241206,0.040107977,0.200269761,-0.025097689,-1.355651466,7.058108129,360.6872243,0.015127453,0.093714705,0.930788702,0.002764935,0.00550365,0.476505375,0.497452565,0.48241206,0.020401682,0.142834456,0.137654618,-0.729391878,6.820737043,359.7607077,0.015967772,0.093801425,0.864258648,0.002772043,0.005489512,0.422777876,0.461701148,0.48241206,0.034426818,0.185544652,0.16349031,-1.162954931,7.040837608,359.9334406,0.015140493,0.0940079,0.919477481,0.00277071,0.005492148,0
0.490711048,0.529386909,0.552941176,0.039453167,0.198628214,-0.561403267,-0.793253826,7.469794652,604.1757506,0.010409275,0.058577162,0.882408537,0.001652441,0.009218816,0.491139072,0.516092934,0.552941176,0.025134328,0.158538098,-0.860166977,0.298383346,7.208611606,603.4486979,0.01138241,0.059158115,0.815691734,0.001654431,0.009207675,0.437754852,0.48583445,0.552941176,0.044405802,0.210726843,-0.467573218,-1.005313676,7.497502752,601.1331648,0.010352038,0.06059327,0.896032627,0.001660791,0.009172329,0
0.456121288,0.51617392,0.470588235,0.058388886,0.241637924,-0.111255371,-1.422784296,7.603757319,787.8419577,0.011805087,0.101434545,0.896264734,0.0012677,0.012020762,0.431680777,0.480501485,0.470588235,0.044533384,0.211029344,-0.212652551,-1.310289823,7.457242727,788.9705576,0.012744398,0.102899889,0.863827461,0.00126589,0.012037706,0.340704944,0.409468433,0.470588235,0.051584538,0.227122299,-0.061711102,-1.496490067,7.352011295,770.7106924,0.018812634,0.113545771,0.885132168,0.001295854,0.011759226,0
0.666763665,0.680846646,0.701960784,0.018978371,0.137762008,-0.641985067,-0.495425696,6.970347196,147.9021446,0.018236207,0.141354777,0.940171345,0.006716643,0.002256601,0.671664668,0.678937739,0.701960784,0.009823027,0.099111187,-1.005504589,1.500261558,6.571435733,147.2642004,0.021358485,0.143904992,0.884926127,0.006745688,0.002246852,0.563042674,0.6028438,0.701960784,0.046403594,0.215414934,-0.336407463,-1.415606343,7.252475762,151.6466912,0.01710046,0.140658106,0.974893365,0.006551809,0.002313705,0
0.615906061,0.647390421,0.666666667,0.039774082,0.199434405,-1.203719946,1.043160035,7.345088637,1067.719056,0.010839377,0.057678787,0.794042279,0.000935709,0.016292093,0.562211519,0.596874084,0.666666667,0.04017688,0.200441711,-1.138576793,0.739851417,7.350771895,1074.555683,0.010843078,0.058518749,0.794804229,0.000929761,0.016396406,0.505743887,0.562805656,0.666666667,0.060973328,0.246927778,-0.536457167,-0.886165144,7.644661662,1066.750061,0.010549297,0.061569208,0.865661666,0.000936558,0.016277299,0
0.618543498,0.640307245,0.658823529,0.027397309,0.165521326,-1.39420883,2.122742997,7.150768778,714.3518536,0.012217218,0.060753677,0.799952781,0.001397937,0.010900115,0.592160872,0.612238416,0.658823529,0.02418138,0.155503634,-1.648272096,3.110604461,6.975579839,712.7889706,0.013316408,0.061913423,0.773923049,0.001401,0.010876262,0.486184872,0.544632973,0.658823529,0.060249345,0.245457421,-0.467900902,-1.208329399,7.464481702,694.2475031,0.01267731,0.06654762,0.911504452,0.001438363,0.010593328,0
0.441121522,0.453775705,0.433198381,0.011324193,0.106415191,0.255592806,0.682789671,6.735312932,738.2789675,0.013743498,0.056861645,0.498814025,0.001352694,0.011265237,0.489756905,0.502701229,0.433198381,0.0128467,0.113343285,-0.456380634,0.370163926,6.786366316,740.2434436,0.013772494,0.05748275,0.556957828,0.00134911,0.011295212,0.415489475,0.429878296,0.433198381,0.012163846,0.110289827,0.537130145,0.564203416,6.759234469,736.6860907,0.013573912,0.056751348,0.534215872,0.001355615,0.011240932,0
0.48751125,0.522572838,0.51372549,0.035415153,0.188189141,-0.61968932,0.00984047,7.424111256,609.1996783,0.015632687,0.119627524,0.867869255,0.00163885,0.009294926,0.489027255,0.52197654,0.51372549,0.033311852,0.182515348,-0.817412564,0.430176446,7.328814299,607.8077665,0.016516294,0.121013814,0.859814385,0.001642599,0.009273611,0.441308055,0.497776467,0.51372549,0.053028612,0.230279421,-0.318640323,-0.8609717,7.679119878,598.9716912,0.015633273,0.124892233,0.913153451,0.001666789,0.009138761,0
0.517862357,0.54847063,0.552941176,0.032638611,0.180661593,-0.82220521,0.257718595,7.338820342,718.3319853,0.013826536,0.108797605,0.831042106,0.001390205,0.010959952,0.513114121,0.544781526,0.552941176,0.03350081,0.183032264,-0.838725191,0.306805305,7.323963704,717.7804994,0.014076627,0.110141367,0.835474526,0.001391273,0.01095137,0.473258464,0.524111092,0.552941176,0.050718863,0.225208488,-0.470518689,-0.678363129,7.582207829,714.5564645,0.013437327,0.109247592,0.891803913,0.00139754,0.010902121,0
0.485135785,0.525749002,0.517647059,0.041055283,0.202621033,-0.429470613,-0.563738087,7.573019127,1177.598024,0.00960699,0.061362417,0.779835626,0.000848473,0.017968204,0.470620907,0.511269846,0.517647059,0.039912817,0.199781925,-0.283416856,-0.326175963,7.590285956,1177.407981,0.00971829,0.062117568,0.773628454,0.00084861,0.017965264,0.412959978,0.467160071,0.517647059,0.047702589,0.218409223,-0.491701368,-0.897873651,7.44212656,1153.151608,0.018304023,0.072988743,0.814349945,0.000866451,0.017595188,1
0.884654445,0.914804921,1,0.054254555,0.232926072,-2.199103174,3.631298,4.34105685,732.7565104,0.379159733,0.457620925,0.896465472,0.001363555,0.011180975,0.909617405,0.931951839,1,0.041130407,0.202806329,-2.845811235,7.179461519,4.769044386,671.7585938,0.254008496,0.418644511,0.874829922,0.001486979,0.010250216,0.8401363,0.889009342,1,0.084508608,0.290703644,-1.739736683,1.595552696,4.493139362,727.6813419,0.379332996,0.455820562,0.933976803,0.001373057,0.011103534,1
0.577120194,0.611084422,0.639215686,0.040356453,0.200889157,-0.762939068,-0.354878548,7.433579796,637.5305147,0.012882884,0.099712667,0.878804657,0.001566127,0.009727908,0.585904589,0.615003578,0.639215686,0.034945214,0.186936389,-1.188368325,0.738604647,7.229886859,634.0699755,0.013597385,0.100605222,0.860848778,0.001574663,0.0096751,0.48155009,0.546307963,0.639215686,0.066561902,0.257995934,-0.252409329,-1.344767224,7.630326786,639.8594056,0.013048863,0.102351548,0.926142392,0.001560436,0.00976344,1
0.50547629,0.534053825,0.556862745,0.029707209,0.172357793,-0.920222935,0.315684218,7.234533215,437.485769,0.018947154,0.16286546,0.886963498,0.002280674,0.006675061,0.481593831,0.508791981,0.556862745,0.026936661,0.164123921,-0.958037096,0.54848424,7.189496238,435.0838388,0.018843045,0.162998933,0.876001744,0.002293236,0.006638442,0.438399311,0.494271098,0.556862745,0.052109962,0.228276066,-0.476680931,-1.123599887,7.45527834,439.351685,0.019178322,0.16808773,0.935255816,0.002271011,0.006703664,1
0.457218215,0.4877476,0.513833992,0.028849225,0.169850596,-0.922501905,-0.152513172,7.065945285,440.6983609,0.017610333,0.099734301,0.882584902,0.002264079,0.0067245,0.457645823,0.480137989,0.513833992,0.021092789,0.145233566,-1.174434116,1.151526633,6.822858264,437.9878217,0.018795325,0.099339983,0.840450518,0.002278065,0.006683129,0.374274574,0.413551939,0.513833992,0.030943749,0.175908355,-0.453766455,-1.072606555,7.193771341,433.4932904,0.014285817,0.097085069,0.892564004,0.002301607,0.006614545,1
0.442269957,0.487256726,0.454901961,0.041816402,0.204490591,-0.13274787,-0.933760014,7.570700912,621.9140625,0.013809978,0.110552746,0.885644926,0.001605393,0.009489639,0.453867774,0.487222051,0.454901961,0.031389371,0.177170457,-0.543838007,-0.072726408,7.352605287,619.0428615,0.015850775,0.111183416,0.848494989,0.001612833,0.00944582,0.345418055,0.409478826,0.454901961,0.048359276,0.219907427,0.214687809,-1.20057625,7.530244856,612.4659467,0.01328624,0.110807036,0.902529908,0.001630118,0.009345466,1
0.50225855,0.516617668,0.497959184,0.014630164,0.120955215,0.523108942,0.721515299,6.825205207,31.63553922,0.033034775,0.314057542,0.98344107,0.03067249,0.00048256,0.612298895,0.629254438,0.497959184,0.02105121,0.145090351,0.208578675,-0.675474088,7.094302545,31.79776348,0.029174639,0.322966993,0.988415114,0.03051703,0.000485022,0.303095666,0.352885512,0.497959184,0.032661202,0.180724104,0.022617574,-1.451438437,7.081666488,23.41626838,0.028756773,0.32099698,0.994490355,0.041004593,0.000357112,1
0.4536596,0.490448911,0.444444444,0.034733102,0.186368189,-0.035055436,-0.538377717,7.331763497,526.6666207,0.012128736,0.084563842,0.883471244,0.00189518,0.008036281,0.46651218,0.494125196,0.444444444,0.026526095,0.162868336,-0.531252649,0.146768337,7.133453439,527.1497243,0.012954669,0.085383698,0.847381823,0.001893449,0.008043658,0.439396159,0.482805718,0.444444444,0.040032377,0.200080925,0.026828108,-0.616431508,7.41949437,528.2328431,0.011744323,0.08514922,0.898561037,0.001889569,0.008060179,1
0.597615042,0.628459786,0.664670659,0.037817964,0.194468414,-0.751915431,-0.524719824,6.775253819,211.916299,0.025651708,0.165099117,0.956988195,0.004697247,0.003232998,0.604485335,0.634965599,0.664670659,0.037778793,0.194367674,-0.854924818,-0.145007022,6.814266362,216.14231,0.025342566,0.166832076,0.956083979,0.004605812,0.003297432,0.541887112,0.609313546,0.664670659,0.077621355,0.278606092,-0.517632284,-1.243625532,7.025819514,203.8261336,0.023827887,0.167956535,0.979846141,0.004882758,0.003109309,1
