,Mean_R,RMS_R,Median_R,Variance_R,Std_R,Skewness_R,Kurtosis_R,Contrast_R,Entropy_R,Energy_R,Homogeneity_R,Correlation_R,IDM_R,Smoothness_R,Mean_G,RMS_G,Median_G,Variance_G,Std_G,Skewness_G,Kurtosis_G,Contrast_G,Entropy_G,Energy_G,Homogeneity_G,Correlation_G,IDM_G,Smoothness_G,Mean_B,RMS_B,Median_B,Variance_B,Std_B,Skewness_B,Kurtosis_B,Contrast_B,Entropy_B,Energy_B,Homogeneity_B,Correlation_B,IDM_B,Smoothness_B
108,113.9803161621094,9.800338303312545,112,399.3896271949634,19.98473485425722,0.2251623486990911,0.363137842373586,6.34320764237526,166.4476102941177,0.02221697459726844,0.1604031924986405,0.791799046975399,0.005972809620889261,0.002539659039371979,110.0093231201172,9.790558015001862,112,513.2452591487672,22.654916886821,-0.1322983754260729,-0.2667328162186946,6.516135704241857,167.0358455882353,0.02134320784924084,0.1650736246284288,0.8375005196716918,0.005951867165228349,0.002548638906033394,81.17440795898438,10.56363540957403,112,929.2551043247804,30.48368587170489,0.02626368125819052,-1.0871085709666,6.773157979505094,165.0177083333333,0.02074932827473229,0.1594585527939203,0.9111331220875103,0.006024206744471301,0.002517823648640098
109,100.1164398193359,9.995980790198018,107,762.5517036092933,27.61433873206623,-0.7686822495287118,0.03742554346453053,6.651727575414883,90.76323529411765,0.02760040901172262,0.2426459685422485,0.9406414533783584,0.01090088929184877,0.001384926883690703,101.1726379394531,9.936234687527515,107,829.2128108879551,28.79605547445614,-0.842188273701487,0.1616569444996951,6.690914145674649,90.58330269607843,0.02735225759476839,0.2431636802555205,0.945521700531315,0.01092228298882549,0.00138216454792096,79.911376953125,9.930878358468757,107,1620.942615926266,40.26093163261707,-0.2988979859633592,-1.27352830536564,7.036950813641559,85.30759803921568,0.02347469575074739,0.2401822311697784,0.9736957536362507,0.01158961766371981,0.001301660903445555
110,104.1864776611328,10.15406602119049,105,652.0719918289687,25.53570033950447,0.01647765796537394,0.4303018687019402,6.703614425255705,596.7728400735294,0.01415994793481347,0.06499208914613185,0.5423656298910031,0.001672915899422641,0.009106026560219234,113.1405792236328,9.682484368179432,105,852.6199927309062,29.19965740776604,-0.3972492573324085,-0.2119295486153256,6.846139180134727,598.457398897059,0.01325749106015763,0.06505102856034804,0.6492020998564834,0.001668212150100417,0.009131729537069724,99.8934326171875,10.35411672496968,105,630.6192281097174,25.11213308561655,0.3085763680249817,0.4759620336869377,6.680641908886161,595.2760876225491,0.01403201325482256,0.06515776469969596,0.5279918068468075,0.001677114937287337,0.009083185987697428
111,124.4838714599609,10.38280735632867,133,2849.478591188556,53.38050759583086,-0.375203493939002,-0.9375453683698494,7.599413648555085,561.1037837009803,0.01126326498596136,0.09940243398142704,0.9015586309613166,0.001779066548020132,0.008561226520246924,127.423828125,10.20902753273114,133,2308.626644134521,48.04817003939402,-0.5808337868145463,-0.4389761974549167,7.480799113893858,560.6914675245098,0.01165380125872558,0.09973204968781253,0.8786156958700188,0.001780373756662575,0.008554762480307839,98.19989013671875,10.04917869438297,133,4076.638663318008,63.84856038563444,-0.04010905809444455,-1.369164880454805,7.535818350413676,537.0416053921568,0.02716858663757572,0.1201006731658475,0.9340944259548234,0.001858686183102329,0.008193885014177239
112,138.0802459716797,10.07558334592803,144,1788.890395911178,42.29527628366054,-1.14185108583675,1.258711935072741,7.085816621128526,572.4288602941176,0.01455413112119561,0.1018754294631963,0.8399171581791223,0.001743939746971963,0.0087340694489312,129.6004638671875,10.05885846132263,144,1778.552742704749,42.17289108781551,-1.172557500741717,1.191105166526119,7.06250679059575,572.8066942401961,0.0145442441916916,0.1029485282675897,0.8388893396857136,0.001742791357474939,0.008739846787028377,86.9515380859375,10.16986317230273,144,2688.55145393312,51.85124351385529,0.214890726745286,-1.166422654282751,7.43661663396626,565.9011182598039,0.01381237409066497,0.1036454407538962,0.8946012928100033,0.001764019038030116,0.008634259672040569
113,100.3072967529297,10.62906416411543,94,2880.974004374584,53.67470544283018,0.1382998474717283,-1.525727026150857,7.22750848756723,111.4787990196078,0.02511356172937255,0.2641370206589966,0.9806571554198933,0.008892549816649341,0.001699948403432891,106.3072662353516,10.52743071624561,94,2773.529443051433,52.66430900573398,0.1518065342975878,-1.281624941660891,7.380854351856782,111.6575827205883,0.02339925232055803,0.2648866170531136,0.9798700291402075,0.008878299368874359,0.00170213972983874,92.00436401367188,10.03601911554078,94,5463.87180712726,73.91800732654568,0.2256680883837932,-1.585865883999776,7.353607075904358,120.1137714460784,0.02715955927032444,0.2714599318437526,0.9890168656520045,0.008258551332948363,0.001830631063123882
114,110.1020812988281,10.34305222108285,124,3328.619797914289,57.69419206397026,-0.2074075986815681,-1.203069252784331,7.577033933379897,584.8922794117648,0.01519210927666324,0.1725770879070269,0.9121895934332227,0.00170684264954656,0.008924036655948854,105.1218719482422,10.30761677115407,124,3209.142907848349,56.64929750533848,-0.2909555576567184,-1.198761597924509,7.523758869649416,581.463480392157,0.0159463012162487,0.173269693083334,0.9094352296569151,0.001716892838357977,0.008871627029236325,98.54969787597656,9.783306649045496,124,4854.990450042998,69.67776151716556,-0.1465035740007688,-1.547581320806677,7.381537672507203,556.9776501225491,0.02693236895237444,0.1859488731660528,0.9426235685607409,0.001792272987883532,0.008498012843820733
115,154.7189331054688,10.54859505649997,164,3522.910533871502,59.3541113476691,-0.6299063473240316,-0.5896805744296052,7.575360158197838,246.115456495098,0.02233159576487981,0.2091647257023344,0.9651142401078189,0.004047057158742901,0.003754500650991612,156.0648193359375,10.58484628831546,164,3614.287699088454,60.11894625730273,-0.7899619888475298,-0.3391852098182033,7.551020464040819,246.6340073529412,0.02231440857543321,0.2104992998174253,0.9659390606257472,0.004038581490675738,0.003762250725682632,131.9335632324219,10.48893663571512,164,4640.505809544586,68.12125813242578,-0.2387681911535453,-1.099104371357086,7.747358970840207,247.8415287990197,0.02062651906403643,0.2066110686509872,0.973305638315098,0.004018954962533135,0.003780647551136715
116,115.3776397705078,9.70188495372283,121,941.1775938922074,30.67861786150425,-0.6922854681644206,0.1590384993709377,6.879160333684583,319.563924632353,0.01449928925626865,0.08293393143654776,0.830456867247633,0.003119643714630467,0.004876158398037912,118.0938568115234,9.665719435310981,121,721.4663343315478,26.86012535956502,-0.5860809235420722,0.5109614033002199,6.743400003111438,319.5018075980392,0.01513392012879588,0.08292372044497992,0.7789119841394427,0.003120254544515013,0.004875210555229495,109.4419555664062,9.849990271548972,121,1266.769732650369,35.59170876272126,-0.6735562422061163,-0.1904653608027798,7.071358922347462,319.7756587009804,0.01336743140541264,0.08238413576013899,0.8739163086246918,0.003117573440574972,0.004879387183908354
117,98.25868225097656,9.330811386888886,110,3273.967278439319,57.2185920697051,-0.3870218450456011,-0.7491077443059249,7.03940807435442,1507.897610294118,0.1239283190470054,0.1629194674147065,0.7688286601147909,0.0006627899279704714,0.02300867698182914,107.8449554443359,9.343651200094289,110,3542.86705920822,59.521988031384,-0.5907827179600267,-0.5918558111208068,6.943641852234343,1507.065180759804,0.1298384777419531,0.1641785831866512,0.7864378541413389,0.000663158407366878,0.02299596825650736,89.26226806640625,9.41355029726929,110,3758.62024134025,61.30758714335649,0.02285680600708035,-1.012684010178491,7.17615455292592,1494.274785539216,0.1239712849613404,0.1625382918719281,0.8007090028243738,0.00066882885021788,0.02280080723325962
