,Mean_B,RMS_B,Median_B,Variance_B,Std_B,Skewness_B,Kurtosis_B,Contrast_B,Entropy_B,Energy_B,Homogeneity_B,Correlation_B,IDM_B,Smoothness_B
46,131.7484436035156,10.44741733888019,128,4719.300824603997,68.69716751514575,-0.1002012956912399,-1.250743957470059,7.849267160751787,717.7050857843137,0.01263451567252642,0.1274767367504751,0.9239259234239505,0.00139141575542472,0.0109511739370778
47,89.83251953125,10.40463400083858,85,830.8553121089935,28.82456091788726,0.5645961098989741,-0.03652476148463224,6.827354398402834,536.7626072303922,0.01355562645510881,0.07143354765726768,0.6769668484808237,0.001859603465626416,0.00819034694401803
48,134.0460357666016,10.40876954882314,142,5171.994966279482,71.91658338853065,-0.3243286457599405,-1.225933175457617,7.79853992443859,568.1953125,0.01441031027470718,0.1458394270630754,0.9451313379179785,0.001756910669618127,0.008669964703389288
49,88.71144104003906,9.556561389986774,96,2002.869812950259,44.75343353252641,-0.7015640000463514,0.07147357953719258,6.471138039521971,526.0668504901962,0.125249154337086,0.1972972762759494,0.8678819366682063,0.001897743502249361,0.008027105283970354
50,81.95646667480469,10.10909047971915,100,1931.393780508777,43.94762542514416,-0.2418974130633208,-1.549128012746706,6.863605434715076,61.31657475490195,0.02823169427666474,0.2626111210295285,0.9841365109959259,0.01605436829531168,0.0009354768117538144
51,103.9005889892578,10.23956288477634,99,4959.996724506607,70.42724419219175,0.05592388330986506,-1.428071247152516,7.616119904689648,588.9881893382355,0.01913536328758427,0.1952979808406596,0.9405532036885006,0.001695004158713828,0.008984086612083364
52,105.4639892578125,10.21851705583117,102,536.8822481483221,23.1707196294876,0.3325114866959162,-0.4883622659276239,6.517684830245167,222.8073529411765,0.01781946869137132,0.1007301496813857,0.7926315435684637,0.004468484224812728,0.003399759683627685
53,73.25474548339844,10.37442125291854,69,1843.605255495524,42.93722459003987,0.2527584064610984,-0.919433585517734,7.270633178384561,97.17961090686278,0.01781463510005405,0.1884967878319377,0.9735784088931456,0.01018726264168477,0.001482764390458004
54,79.39140319824219,9.471433555110186,83,1767.131120553007,42.03725871834422,-0.515746848852044,-0.2659755746069723,6.48346846436763,490.1055147058822,0.1279464568128251,0.1958349949361196,0.860546988843692,0.002036752928583302,0.00747840585144826
55,110.7376403808594,10.04586801184089,117,2710.063216990791,52.05826751814539,-0.351376524880089,-0.4247731261708361,7.586762670541786,1735.117616421569,0.009018001950030377,0.04788532117736102,0.6800546226739302,0.000576000833651939,0.0264753915395148
56,100.2629852294922,9.785636527634601,103,933.326850121608,30.55039852639582,-0.3410629484383215,-0.2967892044253202,6.895208840060608,98.41049325980391,0.02162737402255409,0.2000219345752456,0.9472842736828166,0.01006148919285597,0.001501604350926824
57,103.8296966552734,10.14871490310819,112,2741.28113165847,52.35724526422747,-0.1707915948182085,-0.7475851252087322,7.563499422565951,1711.13059129902,0.01317669119058082,0.06740496621339838,0.6877441559419653,0.0005840720919418111,0.02610910506711707
58,111.8644714355469,10.18289173956433,109,839.5899083754048,28.97567787602914,0.4005351299814957,0.0448122374322768,6.870538270106171,716.5075674019606,0.01245770836708242,0.05716100951389029,0.5733232473901586,0.001393737722375627,0.01093302838919668
59,110.0198516845703,10.16391912970559,105,824.0585811303463,28.70642055586775,1.401255655667126,2.9978564086325,6.671005136114593,65.12279411764708,0.02538344178881833,0.2049321700857016,0.9605621619887066,0.01512918569388445,0.000993694949598667
60,67.50686645507812,10.30219359510846,57,1672.407393037342,40.89507785831128,0.3783814845604068,-1.146873650322806,7.115628817109513,190.5089767156863,0.01605643549767518,0.1421854178288981,0.9428351411261476,0.00522212517589068,0.002906886952879427
61,105.4541168212891,10.34795854126212,117,2785.025116413599,52.77333717336435,-0.1727269958674168,-1.304331073736101,7.424342167978275,558.9618259803922,0.01158250325828495,0.0739578183535619,0.8997694292211146,0.001785872962194427,0.008529079027433823
62,82.07608032226562,10.61942926112469,80,514.2541605150327,22.67717267463104,0.4653902824535338,0.625200289504368,6.519906569140429,497.0451746323531,0.01595387798112817,0.07758224751046779,0.5163770590513584,0.002007914311705015,0.007584268457522299
63,105.0437622070312,10.00114434370356,122,2063.155128326267,45.42196746428172,-0.7126660034317231,-0.9342511040948924,6.87015267643786,52.66536458333334,0.02928149125929429,0.2727762252917347,0.9872626376361471,0.01864416531466991,0.0008036048126524054
64,109.0063171386719,10.07652755023789,117,2520.479543833993,50.20437773575122,-0.3678214506653205,-0.499885393034794,7.539026959668802,1770.943428308824,0.008884777510102733,0.04540158438404204,0.64891233436606,0.0005643549326642087,0.02702219381773403
65,114.8965454101562,10.2467229303103,118,3485.27527737245,59.03622004644648,-0.2680105620254943,-1.021263698246167,7.655121257765888,610.362806372549,0.0145331395943928,0.1198597786321151,0.9125487354175967,0.001635728837037132,0.009313348981665333
66,110.1076507568359,9.952005032896873,114,931.9726489854511,30.52822708552613,-0.6889103000608388,0.3636879683018144,6.809376602455204,89.8780943627451,0.03937454062920493,0.4098937222504095,0.9518365125999302,0.01100852149786172,0.001371425880632667
67,107.2644653320312,10.09071101213729,106,730.7077070139349,27.03160570543183,0.2151125334666356,-0.3883670916486079,6.769134819834392,498.4641390931372,0.01310329281820942,0.06400366519707945,0.6591406379631278,0.002002198270342162,0.007605943707047444
68,131.8217163085938,10.49052364878805,147,3352.25807088241,57.89868798930085,-0.430497084805854,-0.96258716851277,7.614864064744107,901.737775735294,0.01029972383232691,0.05873039051568436,0.8656402250178957,0.001107754030505773,0.01375936899011935
69,101.7727203369141,9.698339292589205,119,3111.269617758458,55.77875597177172,-0.4217731379579898,-1.000672230992223,7.417762109475296,361.8515624999998,0.02812488319105138,0.2144211491578129,0.9418682987003414,0.002756161527404238,0.005521102564016223
70,131.8217468261719,10.49020364714593,147,3352.266748755239,57.89876292940324,-0.4305016774603673,-0.9625846615016767,7.614906540902211,901.3355392156863,0.01028346660263001,0.0592721331697396,0.8657005819797898,0.001108247822643321,0.01375323117557041
71,93.19303894042969,10.22127993935362,81,4071.340650396189,63.80705799828252,0.3365592256023719,-1.132912939097313,7.588668191992042,863.6598805147061,0.01714204377962471,0.1088780421228485,0.893700553170028,0.001156547040189623,0.01317580350900269
