,Mean,RMS,Median,Variance,Std,Skewness,Kurtosis,Contrast,Entropy,Energy,Homogeneity,Correlation,IDM,Smoothness
260,0.4650291740088369,0.5037475017770253,0.4962070588235294,0.03750941286725294,0.1936734697041723,-0.532632192260165,-0.6102109806877789,13.10861274766383,696.2731464460785,0.01335847554268415,0.1189906584441717,0.8571782283638352,0.001434185675486361,0.01062285782690907
261,0.6075772856588926,0.6156930794771187,0.5963760784313725,0.009927810067390217,0.09963839655168191,0.3363877757180893,0.767475044506289,12.03794916876455,113.3786764705883,0.02286617015095981,0.1723364893552313,0.912374413311251,0.008744636563483614,0.001729974178787104
262,0.6183862668624579,0.638328334915579,0.6576164705882352,0.02506148811200869,0.1583082060791818,-1.281703944054366,1.806478614961805,13.00800277766497,909.4790594362746,0.01218400139799404,0.05669491872234392,0.7210784455857304,0.001098337596875623,0.01387748220865642
263,0.4031350293327781,0.4336835410291919,0.4369380392156863,0.02556356188447894,0.159886090340839,-0.4009397713733255,-0.8014177088448005,12.79968860181297,178.0064797794118,0.02041813870979088,0.198738760518024,0.9464507711834039,0.005587027229010759,0.002715815007167424
264,0.4786789105224609,0.5126784317400629,0.5005533333333333,0.03370567499248004,0.1835910536831249,-0.4747508534581755,0.01324575281045304,13.71399758165768,1679.294883578432,0.01055805767694049,0.05061140100006582,0.6174510765039818,0.0005951373733669029,0.02562355788910861
265,0.4501871076037838,0.4842926780709704,0.45406,0.03187096618049184,0.1785244134018982,-0.5614315933755054,0.2932979036569958,12.73508740940497,689.7976715686275,0.01591771249307987,0.1057980463229117,0.8337811753291049,0.00144763522547856,0.01052463568570877
266,0.4104402769440296,0.4510714959362386,0.4803807843137255,0.0350042735082644,0.1870942904213392,-1.437056867964391,0.678601384469891,10.26279130123207,226.0225949754902,0.131599174978081,0.2495272170031103,0.9500088346701977,0.004407402755106348,0.003448762877488717
267,0.5324394788674748,0.5939885390131364,0.6329701960784314,0.06933058582229218,0.2633070181789543,-1.158127073820483,-0.02529760305368756,11.44342714633034,804.5390931372551,0.1160368283935366,0.2038492729392294,0.9102735265063141,0.001241583528267563,0.0122762922631553
268,0.4152167000624712,0.4251168045828776,0.416103137254902,0.00831938952798833,0.09121068757546086,-0.2506226686565871,-0.2955025727466238,11.89952317103147,93.51551776960785,0.02226360007730774,0.1700186320252865,0.9131079422790664,0.01058276602693667,0.00142679631950313
269,0.5058530481555416,0.5381640981056349,0.5422917647058824,0.03373329016159882,0.1836662466584397,-0.8519542168260377,0.1934281828373527,13.20104711431742,619.4707720588235,0.01338869071490922,0.1159218022995105,0.858855944398842,0.001611714239858943,0.009452318988098793
